iter	MultiClass
0	1.246139883
1	1.137638406
2	1.058067757
3	0.9753220316
4	0.9080982063
5	0.8451244036
6	0.7967828589
7	0.753426179
8	0.7176941961
9	0.6848338206
10	0.6460345812
11	0.6138944776
12	0.5880028533
13	0.5596567097
14	0.5351392811
15	0.5138584906
16	0.4936110514
17	0.4790424612
18	0.4653043295
19	0.4498429318
20	0.4377898889
21	0.4278041341
22	0.4171919597
23	0.4057590408
24	0.394663552
25	0.3897884248
26	0.3781852762
27	0.3731928357
28	0.365704615
29	0.3580590399
30	0.3500598505
31	0.3462839436
32	0.3399730613
33	0.3339928563
34	0.3294577694
35	0.3241252177
36	0.3202572781
37	0.312304094
38	0.3104817814
39	0.3054531392
40	0.2985737548
41	0.2947231203
42	0.2908056674
43	0.2885648247
44	0.2841961163
45	0.2808222443
46	0.2781266773
47	0.2763851023
48	0.2721629129
49	0.267932296
50	0.2617049677
51	0.2582954705
52	0.2548941042
53	0.2535418182
54	0.2497993628
55	0.2472483606
56	0.2434399921
57	0.2398108968
58	0.2378146697
59	0.2363524172
60	0.2344970757
61	0.2331746314
62	0.230863399
63	0.2290218261
64	0.2252758317
65	0.2240036101
66	0.2221527463
67	0.2187787952
68	0.2165867615
69	0.2126234403
70	0.2107677274
71	0.2088256438
72	0.2066159234
73	0.2045154494
74	0.2010991881
75	0.1989285738
76	0.196829817
77	0.1954123501
78	0.1946524097
79	0.1934968522
80	0.19166783
81	0.1910897351
82	0.1897727402
83	0.188395056
84	0.1860344798
85	0.1845340002
86	0.1832766011
87	0.1806887711
88	0.1791215062
89	0.1764883558
90	0.1752897598
91	0.174203039
92	0.1737289807
93	0.1732070943
94	0.1724237737
95	0.1714772693
96	0.1703831579
97	0.1691528029
98	0.1681406716
99	0.1665824097
100	0.1654897795
101	0.1642108069
102	0.1621055474
103	0.1603797357
104	0.1584682923
105	0.1570163827
106	0.1559452772
107	0.1551723276
108	0.1534430899
109	0.1521894147
110	0.1518716849
111	0.1513659769
112	0.1493927705
113	0.1477203692
114	0.1467364899
115	0.1461013055
116	0.1453672326
117	0.1444932118
118	0.1436617173
119	0.1431344176
120	0.1416311993
121	0.1401273529
122	0.1390212915
123	0.1383927081
124	0.1372126801
125	0.1364261329
126	0.1356287495
127	0.1352470738
128	0.1348943656
129	0.1346854843
130	0.1332495289
131	0.1321198937
132	0.1313013054
133	0.1304188801
134	0.1298768191
135	0.1291165805
136	0.128336001
137	0.1278254517
138	0.1272853055
139	0.1267313568
140	0.12636269
141	0.1258428277
142	0.1246987989
143	0.124288076
144	0.1234126252
145	0.1226097324
146	0.1218706611
147	0.121409076
148	0.120619112
149	0.1200528482
150	0.1193008452
151	0.1189404844
152	0.1176311194
153	0.1171442548
154	0.1166093598
155	0.1160221953
156	0.1156118354
157	0.1151090508
158	0.1140845562
159	0.1131141758
160	0.1123726048
161	0.1120041664
162	0.1114726877
163	0.1105207033
164	0.1100507746
165	0.1096705269
166	0.1092536374
167	0.109003436
168	0.1082513121
169	0.1078098029
170	0.1074837315
171	0.1069246028
172	0.1065418105
173	0.1061104648
174	0.1055475865
175	0.1051694539
176	0.1045939765
177	0.1043828981
178	0.1041916878
179	0.1035504082
180	0.1028939197
181	0.1023606702
182	0.101978931
183	0.1014747033
184	0.1012852553
185	0.1002943474
186	0.09977886696
187	0.09906924072
188	0.09851495471
189	0.09829636299
190	0.09773793251
191	0.09731659065
192	0.09683194821
193	0.09636138436
194	0.09562748973
195	0.0951728694
196	0.09457545842
197	0.09415439001
198	0.093804416
199	0.09325997771
200	0.09261307955
201	0.0921999969
202	0.09200418187
203	0.09151044188
204	0.09130280708
205	0.09073386116
206	0.09058443362
207	0.08985174217
208	0.08944507505
209	0.08899249393
210	0.08866481236
211	0.08803715976
212	0.08750503338
213	0.08713131655
214	0.08665238149
215	0.08645502167
216	0.08606472474
217	0.08577784398
218	0.08547361226
219	0.08528092881
220	0.08495943129
221	0.08471410134
222	0.08442744694
223	0.08410331556
224	0.08372683505
225	0.08336484317
226	0.08295385497
227	0.08270003436
228	0.08244801351
229	0.08213862913
230	0.08168829665
231	0.08140696536
232	0.08127023571
233	0.08072488972
234	0.08032683488
235	0.0799947516
236	0.07986221743
237	0.07946294544
238	0.07917339626
239	0.07863115353
240	0.07816217377
241	0.07790364987
242	0.07756550329
243	0.07725077989
244	0.07705414005
245	0.07655681985
246	0.07616804135
247	0.07570521038
248	0.07540006304
249	0.07510216266
250	0.07479122439
251	0.07441291803
252	0.07414141014
253	0.07395326872
254	0.07383301261
255	0.07361686112
256	0.07317538573
257	0.07286667299
258	0.07259939794
259	0.07230346241
260	0.07212855066
261	0.07168940546
262	0.07149798968
263	0.07127430536
264	0.07116027127
265	0.07085827102
266	0.0706799185
267	0.07032679609
268	0.06992565051
269	0.06971684945
270	0.06947142062
271	0.06910874717
272	0.06884635569
273	0.06870624814
274	0.0683503678
275	0.0679872862
276	0.06769559464
277	0.06738075022
278	0.06723054162
279	0.06703226359
280	0.06645850711
281	0.06632940902
282	0.06605969892
283	0.06591716479
284	0.06573412455
285	0.06550847084
286	0.06534555061
287	0.06512222885
288	0.06478300805
289	0.06464046021
290	0.06449959527
291	0.06418341445
292	0.06396483091
293	0.06382659615
294	0.0635898362
295	0.06345190818
296	0.06311982674
297	0.06276336755
298	0.06247694681
299	0.06219481672
